Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,VeryPhysicalGame,Year,Month,Weekday,TotalGoals,GoalDifference,Result,HomeShotAccuracy,AwayShotAccuracy,HomeConversionRate,AwayConversionRate,MatchCompetitiveness,ExcitementIndex,HomeExpectedGoals,AwayExpectedGoals
2000/2001,2000-08-19,Charlton,Man City,3.5,0.0,H,2.0,0.0,H,17.0,8.0,14.0,4.0,6,6.0,13.0,12.0,1.0,2,0,0.0,False,2000,8,Saturday,3.5,3.5,H,0.8235294117647058,0.5,0.25,0.0,0.2222222222222222,19.0,4.800000000000001,1.8
2000/2001,2000-08-19,Chelsea,West Ham,3.5,2.0,H,1.0,0.0,H,17.0,12.0,10.0,5.0,7,7.0,19.0,14.0,1.0,2,0,0.0,False,2000,8,Saturday,5.5,1.5,H,0.5882352941176471,0.4166666666666667,0.35,0.4,0.4,25.0,3.7,2.2
2000/2001,2000-08-19,Coventry,Middlesbrough,1.0,3.0,A,1.0,1.0,D,6.0,16.0,3.0,9.0,8,4.0,15.0,21.0,3.5,3,0,0.0,False,2000,8,Saturday,4.0,-2.0,A,0.5,0.5625,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.0,1.7,3.0999999999999996
2000/2001,2000-08-19,Derby,Southampton,2.0,2.0,D,1.0,2.0,A,6.0,13.0,6.0,6.0,5,8.0,11.0,13.0,1.0,1,0,0.0,False,2000,8,Saturday,4.0,0.0,D,1.0,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,21.0,2.3,2.5999999999999996
2000/2001,2000-08-19,Leeds,Everton,2.0,0.0,H,2.0,0.0,H,17.0,12.0,8.0,6.0,6,4.0,21.0,20.0,1.0,3,0,0.0,False,2000,8,Saturday,2.0,2.0,H,0.47058823529411764,0.5,0.25,0.0,0.3333333333333333,14.0,3.0,2.1999999999999997
2000/2001,2000-08-19,Leicester,Aston Villa,0.0,0.0,D,0.0,0.0,D,5.0,5.0,4.0,3.0,5,4.0,12.0,12.0,2.0,3,0,0.0,False,2000,8,Saturday,0.0,0.0,D,0.8,0.6,0.0,0.0,1.0,9.0,1.7,1.2999999999999998
2000/2001,2000-08-19,Liverpool,Bradford,1.0,0.0,H,0.0,0.0,D,16.0,3.0,10.0,2.0,6,1.0,8.0,8.0,1.0,1,0,0.0,False,2000,8,Saturday,1.0,1.0,H,0.625,0.6666666666666666,0.1,0.0,0.5,9.0,3.6,0.7
2000/2001,2000-08-19,Sunderland,Arsenal,1.0,0.0,H,0.0,0.0,D,8.0,14.0,2.0,7.0,2,9.0,10.0,21.0,3.0,1,0,0.0,False,2000,8,Saturday,1.0,1.0,H,0.25,0.5,0.5,0.0,0.5,13.0,0.8,3.0
2000/2001,2000-08-19,Tottenham,Ipswich,3.0,1.0,H,2.0,1.0,H,20.0,15.0,6.0,5.0,3,4.0,14.0,13.0,0.0,0,0,0.0,False,2000,8,Saturday,4.0,2.0,H,0.3,0.3333333333333333,0.5,0.2,0.3333333333333333,15.0,2.0999999999999996,1.9
2000/2001,2000-08-20,Man United,Newcastle,2.0,0.0,H,1.0,0.0,H,19.0,9.0,9.0,6.0,7,1.0,7.0,13.0,0.0,1,0,0.0,False,2000,8,Sunday,2.0,2.0,H,0.47368421052631576,0.6666666666666666,0.2222222222222222,0.0,0.3333333333333333,12.0,3.4,1.9
2000/2001,2000-08-21,Arsenal,Liverpool,2.0,0.0,H,1.0,0.0,H,17.0,7.0,12.0,4.0,10,10.5,21.5,20.0,2.0,4,0,0.0,False,2000,8,Monday,2.0,2.0,H,0.7058823529411765,0.5714285714285714,0.16666666666666666,0.0,0.3333333333333333,24.5,4.6,2.25
2000/2001,2000-08-22,Bradford,Chelsea,2.0,0.0,H,1.0,0.0,H,12.0,14.0,3.0,6.0,6,4.0,14.0,16.0,0.0,1,0,0.0,False,2000,8,Tuesday,2.0,2.0,H,0.25,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,14.0,1.5,2.1999999999999997
2000/2001,2000-08-22,Ipswich,Man United,1.0,1.0,D,1.0,1.0,D,13.0,15.0,8.0,6.0,4,6.0,10.0,7.0,1.0,4,0,0.0,False,2000,8,Tuesday,2.0,0.0,D,0.6153846153846154,0.4,0.125,0.16666666666666666,1.0,14.0,2.8,2.4
